Composition,Predicted EFA,Average Formation Enthalpy,Formation Gap,Radius Mismatch,Electronegativity Mismatch,Carbon Affinity,Magnetic Disorder Risk Index,Minimum Carbide Melting Point,Average Valence Count,Carbide Formation Deviation Index,Metastable Segregation Index,norm_efa,norm_afe,norm_fg,norm_rmis,norm_xmis,norm_ca,norm_mdri,norm_mp,norm_vec,norm_cfdi,norm_msi,Normalized Score
(CrHfNbVZr)C5,,-0.598800000,0.524200000,0.093682237,0.155769060,0.173,0,2271,4.800000000,0.459951911,0.004,,0.668532184,0.451827678,0.128415176,0.771409923,0.000000014,0,0,0.499999998,0.175929606,0.534282011,
(CrHfNbWY)C5,,-0.362400000,0.760600000,0.082875261,0.402909419,0.173,0,2271,4.800000000,0.441584692,-0.169,,0.367845340,0.147201592,0.262862063,0.190520982,0.000000014,0,0,0.499999998,0.214789016,0.310478651,
(CrHfNbWZr)C5,,-0.530800000,0.592200000,0.077780464,0.382517973,0.173,0,2271,5.000000000,0.494271747,-0.169,,0.582040199,0.364202577,0.326245159,0.238449881,0.000000014,0,0,0.583333331,0.103319343,0.310478651,
(CrHfNbYZr)C5,,-0.534400000,0.588600000,0.084026805,0.174631040,0.173,0,2271,4.400000000,0.491572416,0.004,,0.586619186,0.368841553,0.248535986,0.727075944,0.000000014,0,0,0.333333332,0.109030301,0.534282011,
(CrHfReScTa)C5,,-0.387400000,0.735600000,0.076109937,0.217034559,0.173,0,2271,5.000000000,0.458994379,-0.409,,0.399643864,0.179416702,0.347027770,0.627408954,0.000000014,0,0,0.583333331,0.177955450,0.000000000,
(CrHfReScTi)C5,,-0.448600000,0.674400000,0.075890914,0.216000000,0.173,0,2271,4.800000000,0.508823584,-0.409,,0.477486651,0.258279293,0.349752575,0.629840625,0.000000014,0,0,0.499999998,0.072532112,0.000000000,
(CrHfReScV)C5,,-0.354400000,0.768600000,0.080254611,0.217990825,0.173,0,2271,5.000000000,0.443966485,-0.409,,0.357669812,0.136892756,0.295464917,0.625161307,0.000000014,0,0,0.583333331,0.209749870,0.000000000,
(CrHfReScW)C5,,-0.286400000,0.836600000,0.072417465,0.387690598,0.173,0,2271,5.200000000,0.443414749,-0.409,,0.271177827,0.049267655,0.392964880,0.226291929,0.000000014,0,0,0.666666664,0.210917174,0.000000000,
(CrHfReScY)C5,,-0.290000000,0.833000000,0.087682672,0.254118083,0.173,0,2271,4.600000000,0.442397107,-0.409,,0.275756814,0.053906631,0.203054262,0.540246304,0.000000014,0,0,0.416666665,0.213070195,0.000000000,
(CrHfReScZr)C5,,-0.458400000,0.664600000,0.081202303,0.233923064,0.173,0,2271,4.800000000,0.519044353,-0.409,,0.489951673,0.270907616,0.283674915,0.587713512,0.000000014,0,0,0.499999998,0.050908097,0.000000000,
(CrHfReTaTi)C5,,-0.525400000,0.597600000,0.081582629,0.197585425,0.173,0,2271,5.200000000,0.505795848,-0.409,,0.575171717,0.357244113,0.278943375,0.673123007,0.000000014,0,0,0.666666664,0.078937874,0.000000000,
(CrHfReTaV)C5,,-0.431200000,0.691800000,0.086651159,0.197220689,0.173,0,2271,5.400000000,0.456621681,-0.409,,0.455354878,0.235857576,0.215887055,0.673980297,0.000000014,0,0,0.749999997,0.182975351,0.000000000,
(CrHfReTaW)C5,,-0.363200000,0.759800000,0.074338175,0.365381992,0.173,0,2271,5.600000000,0.467395507,-0.409,,0.368862893,0.148232475,0.369069809,0.278727002,0.000000014,0,0,0.833333330,0.160181236,0.000000000,
(CrHfReTaY)C5,,-0.366800000,0.756200000,0.085060843,0.246056904,0.173,0,2271,5.000000000,0.465837053,-0.409,,0.373441880,0.152871451,0.235671788,0.559193633,0.000000014,0,0,0.583333331,0.163478447,0.000000000,
(CrHfReTaZr)C5,,-0.535200000,0.587800000,0.079860116,0.222387050,0.173,0,2271,5.200000000,0.514616129,-0.409,,0.587636739,0.369872436,0.300372726,0.614828238,0.000000014,0,0,0.666666664,0.060276862,0.000000000,
(CrHfReTiV)C5,,-0.492400000,0.630600000,0.082500916,0.193865933,0.173,0,2271,5.200000000,0.501365974,-0.409,,0.533197666,0.314720167,0.267519189,0.681865453,0.000000014,0,0,0.666666664,0.088310131,0.000000000,
(CrHfReTiW)C5,,-0.424400000,0.698600000,0.077336198,0.360355380,0.173,0,2271,5.400000000,0.519274725,-0.409,,0.446705680,0.227095066,0.331772163,0.290541758,0.000000014,0,0,0.749999997,0.050420699,0.000000000,
(CrHfReTiY)C5,,-0.428000000,0.695000000,0.093678297,0.246056904,0.173,0,2271,4.800000000,0.517446809,-0.409,,0.451284667,0.231734042,0.128464199,0.559193633,0.000000014,0,0,0.499999998,0.054288010,0.000000000,
(CrHfReTiZr)C5,,-0.596400000,0.526600000,0.086993496,0.221594224,0.173,0,2271,5.000000000,0.543106472,-0.409,,0.665479526,0.448735027,0.211628125,0.616691730,0.000000014,0,0,0.583333331,0.000000021,0.000000000,
(CrHfReVW)C5,,-0.330200000,0.792800000,0.082201219,0.351454122,0.173,0,2271,5.600000000,0.450878875,-0.409,,0.326888841,0.105708529,0.271247648,0.311463644,0.000000014,0,0,0.833333330,0.195125370,0.000000000,
(CrHfReVY)C5,,-0.333800000,0.789200000,0.098815810,0.249831944,0.173,0,2271,5.000000000,0.449527485,-0.409,,0.331467828,0.110347505,0.064549684,0.550320623,0.000000014,0,0,0.583333331,0.197984497,0.000000000,
(CrHfReVZr)C5,,-0.502200000,0.620800000,0.092130048,0.224017856,0.173,0,2271,5.200000000,0.510896232,-0.409,,0.545662687,0.327348490,0.147725574,0.610995123,0.000000014,0,0,0.666666664,0.068147024,0.000000000,
(CrHfReWY)C5,,-0.265800000,0.857200000,0.084621603,0.416384438,0.173,0,2271,5.200000000,0.445851724,-0.409,,0.244975843,0.022722404,0.241136258,0.158848740,0.000000014,0,0,0.666666664,0.205761282,0.000000000,
(CrHfReWZr)C5,,-0.434200000,0.688800000,0.078727494,0.393344633,0.173,0,2271,5.400000000,0.529741597,-0.409,,0.459170701,0.239723389,0.314463399,0.213002452,0.000000014,0,0,0.749999997,0.028276003,0.000000000,
(CrHfReYZr)C5,,-0.437800000,0.685200000,0.087303060,0.257402409,0.173,0,2271,4.800000000,0.527883093,-0.409,,0.463749689,0.244362365,0.207776926,0.532526688,0.000000014,0,0,0.499999998,0.032208029,0.000000000,
(CrHfScTaTi)C5,,-0.569800000,0.553200000,0.082267121,0.128747816,0.173,0,2271,4.400000000,0.470920121,0.060,,0.631645896,0.414458149,0.270427782,0.834921775,0.000000014,0,0,0.333333332,0.152724233,0.606727030,
(CrHfScTaV)C5,,-0.475600000,0.647400000,0.087077496,0.142548237,0.173,0,2271,4.600000000,0.427556593,0.060,,0.511829057,0.293071613,0.210583110,0.802484692,0.000000014,0,0,0.416666665,0.244468177,0.606727030,
(CrHfScTaW)C5,,-0.407600000,0.715400000,0.076001308,0.382706154,0.173,0,2271,4.800000000,0.445867963,-0.169,,0.425337072,0.205446512,0.348379190,0.238007574,0.000000014,0,0,0.499999998,0.205726927,0.310478651,
(CrHfScTaY)C5,,-0.411200000,0.711800000,0.087477128,0.155743379,0.173,0,2271,4.200000000,0.443874036,0.060,,0.429916059,0.210085488,0.205611392,0.771470285,0.000000014,0,0,0.249999999,0.209945464,0.606727030,
(CrHfScTaZr)C5,,-0.579600000,0.543400000,0.082101074,0.133865604,0.173,0,2271,4.400000000,0.479474546,-0.015,,0.644110918,0.427086473,0.272493524,0.822892713,0.000000014,0,0,0.333333332,0.134625689,0.509702451,
(CrHfScTiV)C5,,-0.536800000,0.586200000,0.081498736,0.144000000,0.173,0,2271,4.400000000,0.469291551,0.085,,0.589671844,0.371934203,0.279987071,0.799072409,0.000000014,0,0,0.333333332,0.156169787,0.639068556,
(CrHfScTiW)C5,,-0.468800000,0.654200000,0.077609949,0.380189426,0.173,0,2271,4.600000000,0.494521344,-0.169,,0.503179859,0.284309102,0.328366488,0.243922994,0.000000014,0,0,0.416666665,0.102791272,0.310478651,
(CrHfScTiY)C5,,-0.472400000,0.650600000,0.094925769,0.161195533,0.173,0,2271,4.000000000,0.492276995,0.085,,0.507758846,0.288948078,0.112944711,0.758655315,0.000000014,0,0,0.166666666,0.107539627,0.639068556,
(CrHfScTiZr)C5,,-0.640800000,0.482200000,0.087983290,0.138910043,0.173,0,2271,4.200000000,0.504575227,-0.015,,0.721953705,0.505949064,0.199314353,0.811036055,0.000000014,0,0,0.249999999,0.081520334,0.509702451,
(CrHfScVW)C5,,-0.374600000,0.748400000,0.082215157,0.376956231,0.173,0,2271,4.800000000,0.431928050,-0.169,,0.383363020,0.162922566,0.271074253,0.251522431,0.000000014,0,0,0.499999998,0.235219513,0.310478651,
(CrHfScVY)C5,,-0.378200000,0.744800000,0.099825875,0.178168460,0.173,0,2271,4.200000000,0.430145743,0.085,,0.387942007,0.167561542,0.051983714,0.718761446,0.000000014,0,0,0.249999999,0.238990329,0.639068556,
(CrHfScVZr)C5,,-0.546600000,0.576400000,0.092869704,0.155769060,0.173,0,2271,4.400000000,0.478551397,-0.015,,0.602136866,0.384562527,0.138523696,0.771409923,0.000000014,0,0,0.333333332,0.136578788,0.509702451,
(CrHfScWY)C5,,-0.310200000,0.812800000,0.086731518,0.417420651,0.173,0,2271,4.400000000,0.433327313,-0.169,,0.301450022,0.079936441,0.214887331,0.156413181,0.000000014,0,0,0.333333332,0.232259101,0.310478651,
(CrHfScWZr)C5,,-0.478600000,0.644400000,0.080642764,0.400419780,0.173,0,2271,4.600000000,0.504639515,-0.169,,0.515644880,0.296937426,0.290635994,0.196372733,0.000000014,0,0,0.416666665,0.081384321,0.310478651,
(CrHfScYZr)C5,,-0.482200000,0.640800000,0.089930772,0.150412765,0.173,0,2271,4.000000000,0.502370142,-0.015,,0.520223868,0.301576402,0.175086221,0.783999579,0.000000014,0,0,0.166666666,0.086185619,0.509702451,
(CrHfTaTiV)C5,,-0.613600000,0.509400000,0.090478465,0.127059041,0.173,0,2271,4.800000000,0.451237233,0.060,,0.687356911,0.470899023,0.168272499,0.838891140,0.000000014,0,0,0.499999998,0.194367196,0.606727030,
